Test,Trial type,Word,Sentence,Domain,,,,,
A,benign,Busy,Your date has to leave early,sad,,,,,
A,benign,Dance,Your friend asks you to go to a party,sad,,,,,
A,negative,Stay home,Your friend asks you to go to a party,sad,,,,,
A,benign,Try later,Your friend does not call you back,sad,,,,,
A,negative,Upset,Your friend does not call you back,sad,,,,,
A,negative,Disappointed,Your friend opens your present and makes a face,sad,,,,,
A,benign,Happy,Your friend opens your present and makes a face,sad,,,,,
A,negative,Boring,Your friends think of you differently after a long road trip,sad,,,,,
A,benign,Captivating,Your friends think of you differently after a long road trip,sad,,,,,
A,benign,Excited,Your picture is going to be in the newspaper,sad,,,,,
A,negative,Panicky,Your picture is going to be in the newspaper,sad,,,,,
A,negative,Criticize,Your teacher wrote many comments on your essay,sad,,,,,
A,benign,Praise,Your teacher wrote many comments on your essay,sad,,,,,
B,benign,Construction,Part of the building is blown up,gad,,,,,
B,negative,Terrorists,Part of the building is blown up,gad,,,,,
B,benign,Clock,The alarm goes off,gad,,,,,
B,negative,Warning,The alarm goes off,gad,,,,,
B,benign,Height,The doctor examined your growth,gad,,,,,
B,negative,Tumor,The doctor examined your growth,gad,,,,,
B,benign,Models,The people on T.V. are really skinny,gad,,,,,
B,negative,Starving,The people on T.V. are really skinny,gad,,,,,
B,benign,Breezy,The wind is blowing extremely hard,gad,,,,,
B,negative,Tornado,The wind is blowing extremely hard,gad,,,,,
B,benign,Deep breath,You are feeling anxious,gad,,,,,
B,negative,Medicine,You are feeling anxious,gad,,,,,
B,benign,Borrowed,You cannot find your favorite shirt,gad,,,,,
B,negative,Stolen,You cannot find your favorite shirt,gad,,,,,
B,negative,Crash,You feel the plane drop in the air,gad,,,,,
B,benign,Turbulence,You feel the plane drop in the air,gad,,,,,
B,negative,check,You find a discoloration on you skin,gad,,,,,
B,benign,Ignore,You find a discoloration on you skin,gad,,,,,
B,benign,Exciting,You have several options for places to live,gad,,,,,
B,negative,Stressful,You have several options for places to live,gad,,,,,
B,negative,Disaster,You have to write an essay about your life's achievements,gad,,,,,
B,benign,Success,You have to write an essay about your life's achievements,gad,,,,,
B,negative,Cancer,You notice that the bump on your neck got larger,gad,,,,,
B,benign,Pimpil,You notice that the bump on your neck got larger,gad,,,,,
B,benign,Approved,You receive a call from a loan officer,gad,,,,,
B,negative,Declined,You receive a call from a loan officer,gad,,,,,
B,benign,Save,You spent too much money,gad,,,,,
B,negative,Worry,You spent too much money,gad,,,,,
B,benign,Careful,You take a long time to make decisions about the future,gad,,,,,
B,negative,Confused,You take a long time to make decisions about the future,gad,,,,,
B,negative,Broke,Your bank statement is surprising,gad,,,,,
B,benign,Wealthy,Your bank statement is surprising,gad,,,,,
B,benign,Helpful,Your career advisor wants to meet with you,gad,,,,,
B,negative,Scary,Your career advisor wants to meet with you,gad,,,,,
B,benign,Hot,Your face feels sweaty,gad,,,,,
B,negative,Sick,Your face feels sweaty,gad,,,,,
B,negative,Call police,Your front door is open,gad,,,,,
B,benign,Close ,Your front door is open,gad,,,,,
B,benign,Bank,Your money is not here,gad,,,,,
B,negative,Stolen,Your money is not here,gad,,,,,
B,negative,Breakup,Your partner wants to talk about your relationship,gad,,,,,
B,benign,Commitment,Your partner wants to talk about your relationship,gad,,,,,
B,negative,Rash,Your skin is redder than usual,gad,,,,,
B,benign,Sunburn,Your skin is redder than usual,gad,,,,,
B,negative,Disliked,A friend comments on your music choice for the party ,sad,,,,,
B,benign,Well-liked,A friend comments on your music choice for the party ,sad,,,,,
B,benign,Comfortable,A friend sets you up on a blind date,sad,,,,,
B,negative,Uncomfortable,A friend sets you up on a blind date,sad,,,,,
B,benign,Attractive,An old friend comments on how you look different now,sad,,,,,
B,negative,Ugly,An old friend comments on how you look different now,sad,,,,,
B,negative,Mocked,Everyone stops talking when you enter the room,sad,,,,,
B,benign,Respected,Everyone stops talking when you enter the room,sad,,,,,
B,negative,Dumb,People judge the speech you just gave,sad,,,,,
B,benign,Intelligent,People judge the speech you just gave,sad,,,,,
B,benign,Good-looking,Someone comments on your new clothes at a party,sad,,,,,
B,negative,Hideous,Someone comments on your new clothes at a party,sad,,,,,
B,benign,Cool,Someone looks at you as you walk by,sad,,,,,
B,negative,Weird,Someone looks at you as you walk by,sad,,,,,
B,benign,Admire,Someone you like says hello to you,sad,,,,,
B,negative,Pity,Someone you like says hello to you,sad,,,,,
B,negative,Embarassing,You and a classmate accidentally bump into each other,sad,,,,,
B,benign,Funny,You and a classmate accidentally bump into each other,sad,,,,,
B,benign,Clever,You are asked to contribute your ideas for a group project,sad,,,,,
B,negative,Dense,You are asked to contribute your ideas for a group project,sad,,,,,
B,negative,Boring,You are interviewing for a job,sad,,,,,
B,benign,Captivating,You are interviewing for a job,sad,,,,,
B,benign,Drink,You are offered some coffee,sad,,,,,
B,negative,Refuse,You are offered some coffee,sad,,,,,
B,benign,Attractive,You are playing at the beach,sad,,,,,
B,negative,Ugly,You are playing at the beach,sad,,,,,
B,negative,Drop class,You are unsure of your test score,sad,,,,,
B,benign,Think positive,You are unsure of your test score,sad,,,,,
B,benign,Cute,You blush when someone smiles at you,sad,,,,,
B,negative,Embarrassing,You blush when someone smiles at you,sad,,,,,
B,negative,Dumb,You give advice to a friend,sad,,,,,
B,benign,Intelligent,You give advice to a friend,sad,,,,,
B,negative,Clumsy,You handle the ball in a baseball game,sad,,,,,
B,benign,Graceful,You handle the ball in a baseball game,sad,,,,,
B,negative,Mocked,You hear your name mentioned in a nearby conversation,sad,,,,,
B,benign,Respected,You hear your name mentioned in a nearby conversation,sad,,,,,
B,benign,Attractive,You just got your yearbook pictures back,sad,,,,,
B,negative,Ugly,You just got your yearbook pictures back,sad,,,,,
B,negative,Boring,You make a first impression on your new coworker,sad,,,,,
B,benign,Captivating,You make a first impression on your new coworker,sad,,,,,
B,negative,Dumb,You receive an unexpected grade on your test,sad,,,,,
B,benign,Intelligent,You receive an unexpected grade on your test,sad,,,,,
B,benign,Greet,You see a group of people approaching,sad,,,,,
B,negative,Walk away,You see a group of people approaching,sad,,,,,
B,benign,Comfortable,You stand up to introduce yourself at a meeting,sad,,,,,
B,negative,Uncomfortable,You stand up to introduce yourself at a meeting,sad,,,,,
B,negative,Criticize,Your boss wants to meet with you,sad,,,,,
B,benign,Praise,Your boss wants to meet with you,sad,,,,,
B,negative,Disaster,Your holiday party turns out different than last year,sad,,,,,
B,benign,Success,Your holiday party turns out different than last year,sad,,,,,
B,negative,Quit,Your competition is good,sad,,,,,
B,benign,Try hard,Your competition is good,sad,,,,,
B,negative,Leave,Your date is not here yet,sad,,,,,
B,benign,Wait,Your date is not here yet,sad,,,,,
B,benign,Admire,Your friend comments on your new haircut,sad,,,,,
B,negative,Pity,Your friend comments on your new haircut,sad,,,,,
B,negative,Missing,Your friend does not return your call,sad,,,,,
B,benign,Vacation,Your friend does not return your call,sad,,,,,
B,negative,Disliked,Your friends are surprised at your painting,sad,,,,,
B,benign,Well-liked,Your friends are surprised at your painting,sad,,,,,
B,benign,Exercise,Your heart is beating very quickly,sad,,,,,
B,negative,Panicky,Your heart is beating very quickly,sad,,,,,
B,benign,Comfortable,Your teacher calls on you to answer,sad,,,,,
B,negative,Uncomfortable,Your teacher calls on you to answer,sad,,,,,
B,negative,Stress,Your test will be difficult,sad,,,,,
B,benign,Study,Your test will be difficult,sad,,,,,
